Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2022-02-04,Yes,2025-01-31,156.0,156,91388.16317404002,20226297.875934035
2022-02-11,Yes,2025-02-07,156.0,156,89864.8750277895,21799123.908367787
2022-02-18,Yes,2025-02-07,155.0,155,89154.44414621004,21299027.41866621
2022-02-25,Yes,2025-02-07,154.0,154,88210.68799160671,20416047.790031604
2022-03-04,Yes,2025-02-07,153.0,153,87144.78472006918,20055236.730280068
2022-03-11,Yes,2025-02-14,153.0,153,86305.24317231501,24647378.641212314
2022-03-18,Yes,2025-02-14,152.0,152,85359.38706920095,23848661.9783592
2022-03-25,Yes,2025-02-14,151.0,151,84285.94540306496,23172138.428233065
2022-04-01,Yes,2025-02-14,150.0,150,82879.63507405942,22298400.497654058
2022-04-08,Yes,2025-02-14,149.0,149,80558.82822983903,21452119.38222984
2022-04-14,Yes,2025-02-14,148.0,148,78862.05053050729,21026896.48109051
2022-04-22,Yes,2025-02-14,147.0,147,76633.6630934568,20463505.457613457
2022-04-29,Yes,2025-02-14,146.0,146,76200.98723635335,20058658.23323635
2022-05-06,Yes,2025-04-11,153.0,153,77859.00223764012,28365204.83527764
2022-05-13,Yes,2025-04-11,152.0,152,76182.01596197738,27629703.79919198
2022-05-20,Yes,2025-04-11,151.0,151,75531.05526505012,26949051.646205053
2022-05-27,Yes,2025-04-11,150.0,150,74220.66819622021,26228924.629516218
2022-06-03,Yes,2025-04-11,149.0,149,72529.5352281884,25184611.566798188
2022-06-10,Yes,2025-04-11,148.0,148,70943.48479252472,24088324.405092523
2022-06-17,Yes,2025-04-11,147.0,147,69566.92544739209,23047269.553517394
2022-06-24,Yes,2025-04-11,146.0,146,67824.04551120993,22331650.227991212
2022-07-01,Yes,2025-04-11,145.0,145,66705.48473720401,21306095.3264072
2022-07-08,Yes,2025-04-11,144.0,144,65670.91484421436,20930902.604494218
2022-07-15,Yes,2025-04-11,143.0,143,65048.35096197738,20245471.409021974
2022-07-22,Yes,2025-04-25,144.0,144,65221.27326505012,36889537.470495045
2022-07-29,Yes,2025-04-25,143.0,143,64556.91619622021,35735219.78905622
2022-08-05,Yes,2025-04-25,142.0,142,63864.35223635334,34402075.667436354
2022-08-12,Yes,2025-04-25,141.0,141,62201.749878333925,32946430.869708337
2022-08-19,Yes,2025-04-25,140.0,140,61095.90943349335,31711710.937823497
2022-08-26,Yes,2025-04-25,139.0,139,60020.18701769698,30366658.480107702
2022-09-02,Yes,2025-04-25,138.0,138,58990.60475746824,29045841.91942747
2022-09-09,Yes,2025-04-25,137.0,137,58977.73391036763,27820878.14910037
2022-09-16,Yes,2025-04-25,136.0,136,58203.55840676057,26439743.56796676
2022-09-23,Yes,2025-04-25,135.0,135,57747.057528000536,25302791.788718
2022-09-30,Yes,2025-04-25,134.0,134,57041.48643349335,24207790.697323494
2022-10-07,Yes,2025-04-25,133.0,133,56568.24901769699,23173159.695527695
2022-10-14,Yes,2025-04-25,132.0,132,57309.886685378195,22220724.56965538
2022-10-21,Yes,2025-04-25,131.0,131,57192.73543655651,21211135.06619656
2022-10-28,Yes,2025-04-25,130.0,130,56648.05884421436,20169629.202914216
2022-11-04,Yes,2025-05-02,130.0,130,55984.790403064966,27570073.965343066
2022-11-11,Yes,2025-05-02,129.0,129,54931.065536228954,26993996.486076232
2022-11-18,Yes,2025-05-02,128.0,128,54375.01001160664,25816688.176281605
2022-11-25,Yes,2025-05-02,127.0,127,54209.54701000633,24690555.07978001
2022-12-02,Yes,2025-05-02,126.0,126,53862.954299231555,23598777.389529232
2022-12-09,Yes,2025-05-02,125.0,125,54061.09833700617,22524273.897267006
2022-12-16,Yes,2025-05-02,124.0,124,53846.51333580417,21537139.348315805
2022-12-23,Yes,2025-05-02,123.0,123,53391.603785458545,20605855.830155462
2022-12-30,Yes,2025-05-09,123.0,123,53608.30117747228,20956216.714907475
2023-01-06,Yes,2025-05-09,122.0,122,53039.203720069185,20025695.053310074
2023-01-13,Yes,2025-05-16,122.0,122,53142.409172315005,26104287.958772317
2023-01-20,Yes,2025-05-16,121.0,121,52343.55653345685,24897119.08302346
2023-01-27,Yes,2025-05-16,120.0,120,51950.19887818843,23808481.720348194
2023-02-03,Yes,2025-05-16,119.0,119,51815.204872524846,22759978.881162528
2023-02-10,Yes,2025-05-16,118.0,118,51242.50426505012,22559684.08826505
2023-02-17,Yes,2025-05-16,117.0,117,50440.89022983902,21661455.79225984
2023-02-24,Yes,2025-05-16,116.0,116,49423.66025821916,20645326.656538222
2023-03-03,Yes,2025-05-23,116.0,116,48977.35791217146,23383464.451132175
2023-03-10,Yes,2025-05-23,115.0,115,48048.82733700617,22288226.982747007
2023-03-17,Yes,2025-05-23,114.0,114,47197.62793971882,21239533.37960972
2023-03-24,Yes,2025-05-23,113.0,113,45001.90118665433,23075328.613666657
