Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2023-12-15,Yes,2026-03-13,117.0,117,47091.72714621004,47691.72714621004,20835251.30620621,12591.72714621004,34500.0,17,100,1280831.1019400002
2023-12-22,Yes,2026-04-02,119.0,119,47172.21659924406,47772.21659924406,25922524.396199245,11637.216599244059,35535.0,16,103,1217612.7504
2023-12-29,Yes,2026-04-02,118.0,118,46965.12868537819,47565.12868537819,25473829.105215378,10740.128685378193,36225.0,13,105,1196398.19647
2024-01-05,Yes,2026-04-02,117.0,117,46466.779737204015,47066.779737204015,25023252.799637206,11966.779737204015,34500.0,17,100,1175171.3540999999
2024-01-12,Yes,2026-04-02,116.0,116,46041.69127198925,46641.69127198925,24118174.641491987,11886.69127198925,34155.0,17,99,1132386.27478
2024-01-19,Yes,2026-04-02,115.0,115,45313.554236353346,45913.554236353346,22778648.458126355,11158.554236353344,34155.0,16,99,1069083.8051099998
2024-01-26,Yes,2026-04-02,114.0,114,44239.43713526636,44839.43713526636,21463376.48473527,10084.437135266362,34155.0,15,99,1007020.2654000003
2024-02-02,Yes,2026-04-02,113.0,113,43316.66396197738,43916.66396197738,20172314.304001972,8816.663961977378,34500.0,13,100,946065.7049599995
2024-02-09,Yes,2026-04-10,113.0,113,42696.50026505012,43296.50026505012,29826691.363155052,8196.50026505012,34500.0,13,100,893780.8181100005
2024-02-16,Yes,2026-04-10,112.0,112,42018.74488632528,42618.74488632528,28849128.159036323,7173.744886325283,34845.0,11,101,864328.7748499999
2024-02-23,Yes,2026-04-10,111.0,111,41191.366494091184,41791.366494091184,27478271.25327409,6691.366494091179,34500.0,11,100,823009.99222
2024-03-01,Yes,2026-04-10,110.0,110,40372.02488632528,40972.02488632528,25840493.303236328,5872.024886325283,34500.0,10,100,773605.12765
2024-03-08,Yes,2026-04-10,109.0,109,39493.93149409118,40093.93149409118,24160185.88172409,4993.931494091179,34500.0,9,100,722926.1327700001
2024-03-15,Yes,2026-04-10,108.0,108,38860.07606611596,39460.07606611596,22524004.94396612,4015.076066115961,34845.0,7,101,673518.9521
